frame.number,frame.time_epoch,tcp.analysis.ack_rtt,ip.src,ip.dst
"1939","1757509739.957857000","0.000009000","196.42.104.243","196.24.45.81"
"1942","1757509739.963376000","0.000024000","196.42.104.243","196.24.45.81"
"1943","1757509739.963388000","0.000036000","196.42.104.243","196.24.45.81"
"1945","1757509739.963440000","0.000015000","196.42.104.243","196.24.45.81"
"1946","1757509739.969870000","0.016203000","196.24.45.75","196.42.104.243"
"1949","1757509739.970036000","0.000023000","196.42.104.243","196.24.45.81"
"1951","1757509739.970113000","0.000017000","196.42.104.243","196.24.45.81"
"1953","1757509739.973731000","0.000032000","196.42.104.243","196.24.45.81"
"1955","1757509739.973760000","0.000006000","196.42.104.243","196.24.45.81"
"1958","1757509740.011897000","0.042027000","196.42.104.243","196.24.45.75"
"1959","1757509740.071259000","0.069721000","52.108.54.3","196.42.104.243"
"2059","1757509744.958248000","0.002910000","196.24.45.75","196.42.104.243"
"2060","1757509744.958249000","0.002824000","196.24.45.75","196.42.104.243"
"2089","1757509746.488695000","0.002869000","104.18.32.47","196.42.104.243"
"2091","1757509746.489266000","0.003539000","104.18.39.21","196.42.104.243"
"2093","1757509746.489301000","0.000037000","196.42.104.243","104.18.32.47"
"2094","1757509746.489313000","0.000047000","196.42.104.243","104.18.39.21"
"2135","1757509748.383593000","0.000499000","196.42.104.243","104.18.39.21"
"2136","1757509748.385193000","0.001600000","104.18.39.21","196.42.104.243"
"2150","1757509748.791014000","0.000316000","196.42.104.243","104.18.39.21"
"2151","1757509748.792789000","0.001775000","104.18.39.21","196.42.104.243"
"2166","1757509749.155778000","0.019161000","52.108.9.12","196.42.104.243"
"2168","1757509749.156531000","0.017390000","52.108.9.12","196.42.104.243"
"2171","1757509749.178431000","0.000032000","196.42.104.243","52.108.9.12"
"2172","1757509749.178442000","0.000042000","196.42.104.243","52.108.9.12"
"2175","1757509749.512259000","0.374874000","52.108.36.35","196.42.104.243"
"2176","1757509749.512260000","0.373129000","52.108.36.35","196.42.104.243"
"2177","1757509749.512301000","0.000041000","196.42.104.243","52.108.36.35"
"2179","1757509749.525853000","0.000060000","196.42.104.243","142.251.47.206"
"2200","1757509749.643853000","0.017108000","192.178.54.78","196.42.104.243"
"2201","1757509749.643888000","0.000035000","196.42.104.243","192.178.54.78"
"2204","1757509749.662085000","0.017802000","192.178.54.78","196.42.104.243"
"2228","1757509749.832590000","0.000063000","196.42.104.243","192.178.54.78"
"2229","1757509749.832619000","0.000092000","196.42.104.243","192.178.54.78"
"2230","1757509749.832630000","0.000103000","196.42.104.243","192.178.54.78"
"2235","1757509749.858993000","0.023904000","192.178.54.78","196.42.104.243"
"2237","1757509749.860536000","0.001542000","196.42.104.243","192.178.54.78"
"2238","1757509749.862399000","0.026880000","192.178.54.78","196.42.104.243"
"2239","1757509749.886083000","0.025547000","192.178.54.78","196.42.104.243"
"2240","1757509749.903061000","0.040662000","196.42.104.243","192.178.54.78"
"2242","1757509749.925270000","0.000460000","196.42.104.243","104.18.39.21"
"2243","1757509749.926889000","0.001619000","104.18.39.21","196.42.104.243"
"2246","1757509749.942103000","0.002827000","196.24.45.75","196.42.104.243"
"2247","1757509749.942151000","0.000048000","196.42.104.243","196.24.45.75"
"2249","1757509749.945993000","0.007269000","196.24.45.81","196.42.104.243"
"2250","1757509749.946063000","0.000070000","196.42.104.243","196.24.45.81"
"2252","1757509749.951727000","0.000095000","196.42.104.243","196.24.45.81"
"2255","1757509749.951972000","0.000067000","196.42.104.243","196.24.45.81"
"2257","1757509749.952030000","0.000026000","196.42.104.243","196.24.45.81"
"2259","1757509749.960194000","0.000084000","196.42.104.243","196.24.45.81"
"2261","1757509749.960388000","0.000038000","196.42.104.243","196.24.45.81"
"2263","1757509749.966091000","0.000060000","196.42.104.243","196.24.45.81"
"2265","1757509749.966275000","0.000027000","196.42.104.243","196.24.45.81"
"2268","1757509749.979148000","0.035972000","196.24.45.75","196.42.104.243"
"2271","1757509749.979229000","0.000058000","196.42.104.243","196.24.45.81"
"2272","1757509749.979251000","0.000103000","196.42.104.243","196.24.45.75"
"2277","1757509749.988837000","0.008121000","196.24.45.75","196.42.104.243"
"2283","1757509750.032937000","0.041851000","196.42.104.243","196.24.45.75"
"2288","1757509750.395311000","0.000104000","196.42.104.243","52.108.54.3"
"2290","1757509750.407862000","0.000049000","196.42.104.243","52.108.54.3"
"2292","1757509750.413072000","0.000064000","196.42.104.243","52.108.54.3"
"2329","1757509752.382256000","0.000082000","196.42.104.243","52.108.54.3"
"2334","1757509752.459724000","0.314743000","52.108.36.35","196.42.104.243"
"2335","1757509752.466555000","0.315169000","52.108.36.35","196.42.104.243"
"2337","1757509752.466668000","0.000112000","196.42.104.243","52.108.36.35"
"2355","1757509753.306325000","0.000167000","196.42.104.243","104.18.39.21"
"2356","1757509753.310235000","0.003910000","104.18.39.21","196.42.104.243"
"2391","1757509754.988157000","0.006252000","196.24.45.75","196.42.104.243"
"2392","1757509754.988158000","0.006222000","196.24.45.75","196.42.104.243"
"2430","1757509756.301840000","0.022369000","52.108.9.12","196.42.104.243"
"2432","1757509756.308516000","0.023781000","52.108.9.12","196.42.104.243"
"2435","1757509756.341636000","0.000075000","196.42.104.243","52.108.9.12"
"2436","1757509756.341671000","0.000109000","196.42.104.243","52.108.9.12"
"2464","1757509757.723694000","0.441395000","52.108.36.35","196.42.104.243"
"2465","1757509757.723695000","0.423749000","52.108.36.35","196.42.104.243"
"2466","1757509757.723752000","0.000057000","196.42.104.243","52.108.36.35"
"2496","1757509759.306182000","0.018011000","52.108.54.3","196.42.104.243"
"2503","1757509759.644501000","0.356435000","52.108.36.35","196.42.104.243"
"2504","1757509759.644502000","0.355602000","52.108.36.35","196.42.104.243"
"2506","1757509759.644616000","0.000114000","196.42.104.243","52.108.36.35"
"2516","1757509759.953592000","0.002022000","196.24.45.75","196.42.104.243"
"2517","1757509759.953639000","0.000047000","196.42.104.243","196.24.45.75"
"2519","1757509759.955533000","0.004668000","196.24.45.81","196.42.104.243"
"2520","1757509759.955595000","0.000062000","196.42.104.243","196.24.45.81"
"2522","1757509759.957671000","0.000056000","196.42.104.243","196.24.45.81"
"2526","1757509759.963303000","0.000061000","196.42.104.243","196.24.45.81"
"2527","1757509759.963331000","0.000089000","196.42.104.243","196.24.45.81"
