frame.time_epoch,tcp.analysis.ack_rtt,ip.src,ip.dst
"1757710200.901466315","0.150349668","87.248.114.12","196.42.104.243"
"1757710200.901466751","0.149926712","87.248.114.12","196.42.104.243"
"1757710200.902005188","0.000538409","196.42.104.243","87.248.114.12"
"1757710200.996902550","0.178370481","87.248.114.12","196.42.104.243"
"1757710200.996955226","0.000052676","196.42.104.243","87.248.114.12"
"1757710201.455487600","0.149480119","87.248.114.12","196.42.104.243"
"1757710201.503518865","0.000044254","196.42.104.243","87.248.114.12"
"1757710204.096085069","0.208160870","87.248.114.12","196.42.104.243"
"1757710204.096085303","0.207935761","87.248.114.12","196.42.104.243"
"1757710204.096147766","0.000062697","196.42.104.243","87.248.114.12"
"1757710204.096167732","0.000082429","196.42.104.243","87.248.114.12"
"1757710204.098680955","0.001230115","87.248.114.12","196.42.104.243"
"1757710204.295901045","0.000044371","196.42.104.243","87.248.114.12"
"1757710204.295920437","0.000063324","196.42.104.243","87.248.114.12"
"1757710204.500225030","0.201535551","87.248.114.12","196.42.104.243"
"1757710204.500225488","0.200539132","87.248.114.12","196.42.104.243"
"1757710204.500934945","0.000709429","196.42.104.243","87.248.114.12"
"1757710204.799212447","0.151369986","87.248.114.12","196.42.104.243"
"1757710204.799212451","0.151089739","87.248.114.12","196.42.104.243"
"1757710204.799293204","0.000080753","196.42.104.243","87.248.114.12"
"1757710204.799313427","0.000100980","196.42.104.243","87.248.114.12"
"1757710204.801610667","0.153863611","87.248.114.12","196.42.104.243"
"1757710204.801648137","0.000037470","196.42.104.243","87.248.114.12"
"1757710204.802867830","0.000034604","196.42.104.243","87.248.114.12"
"1757710204.802881531","0.000047908","196.42.104.243","87.248.114.12"
"1757710204.803555420","0.002788810","87.248.114.12","196.42.104.243"
"1757710204.803595948","0.003341959","87.248.114.12","196.42.104.243"
"1757710204.860157382","0.174313904","87.248.114.12","196.42.104.243"
"1757710204.860210071","0.000052689","196.42.104.243","87.248.114.12"
"1757710204.862838026","0.149299935","87.248.114.12","196.42.104.243"
"1757710204.951742365","0.000047785","196.42.104.243","87.248.114.12"
"1757710204.952462290","0.000021701","196.42.104.243","87.248.114.12"
"1757710204.953337395","0.000033455","196.42.104.243","87.248.114.12"
"1757710204.953362140","0.000048228","196.42.104.243","87.248.114.12"
"1757710204.955347740","0.000029087","196.42.104.243","87.248.114.12"
"1757710204.955364046","0.000006202","196.42.104.243","87.248.114.12"
"1757710205.105275465","0.150527204","87.248.114.12","196.42.104.243"
"1757710205.105297510","0.150993892","87.248.114.12","196.42.104.243"
"1757710205.106050645","0.000753024","196.42.104.243","87.248.114.12"
"1757710205.106308823","0.001032981","196.42.104.243","87.248.114.12"
"1757710205.110638856","0.150651207","87.248.114.12","196.42.104.243"
"1757710205.115265268","0.151610360","87.248.114.12","196.42.104.243"
"1757710205.145199367","0.029934099","196.42.104.243","87.248.114.12"
"1757710205.297000650","0.151801283","87.248.114.12","196.42.104.243"
"1757710205.338223667","0.041223017","196.42.104.243","87.248.114.12"
"1757710205.543231424","0.149618376","87.248.114.12","196.42.104.243"
"1757710205.546680313","0.000042058","196.42.104.243","87.248.114.12"
"1757710205.546699334","0.000060631","196.42.104.243","87.248.114.12"
"1757710205.546709127","0.000070395","196.42.104.243","87.248.114.12"
"1757710205.547430607","0.000024383","196.42.104.243","87.248.114.12"
"1757710205.849068332","0.163429354","87.248.114.12","196.42.104.243"
"1757710205.849113208","0.000044876","196.42.104.243","87.248.114.12"
"1757710205.849269326","0.000200763","196.42.104.243","87.248.114.12"
"1757710205.852330904","0.000035493","196.42.104.243","87.248.114.12"
"1757710205.852719860","0.000424303","196.42.104.243","87.248.114.12"
"1757710205.856800354","0.151108782","87.248.114.12","196.42.104.243"
"1757710206.002484023","0.000190615","196.42.104.243","87.248.114.12"
"1757710206.002544230","0.153431022","87.248.114.12","196.42.104.243"
"1757710206.004196588","0.149953866","87.248.114.12","196.42.104.243"
"1757710206.007070342","0.150228190","87.248.114.12","196.42.104.243"
"1757710206.011620117","0.000055699","196.42.104.243","87.248.114.12"
"1757710206.011771952","0.000207027","196.42.104.243","87.248.114.12"
"1757710206.014592006","0.000259762","196.42.104.243","87.248.114.12"
"1757710206.320117548","0.000037727","196.42.104.243","87.248.114.12"
"1757710206.320284341","0.000204273","196.42.104.243","87.248.114.12"
"1757710206.330980708","0.000044502","196.42.104.243","87.248.114.12"
