StartTime,LastTime,SrcAddr,DstAddr,Sport,Dport,Proto,TcpRtt
22:50:42.141548,22:50:42.812872,196.42.104.243,87.248.114.12,34566,443,tcp,0.150257
22:50:42.142651,22:50:42.812872,196.42.104.243,87.248.114.12,34582,443,tcp,0.149789
22:50:42.741808,22:50:45.578586,196.42.104.243,87.248.114.12,56422,443,tcp,0.149812
22:50:43.698867,22:50:44.306124,196.42.104.243,87.248.114.11,45222,443,tcp,0.149975
22:50:43.710102,22:50:44.316476,196.42.104.243,87.248.114.12,34598,443,tcp,0.149637
22:50:43.983598,22:50:44.439894,196.42.104.243,87.248.114.12,34606,443,tcp,0.149584
22:50:43.984510,22:50:44.592958,196.42.104.243,87.248.114.12,34620,443,tcp,0.150025
22:50:44.090659,22:50:44.695434,196.42.104.243,87.248.114.12,34626,443,tcp,0.150094
22:50:44.600103,22:50:45.206671,196.42.104.243,87.248.114.12,34296,443,tcp,0.150988
22:50:44.600925,22:50:45.064387,196.42.104.243,87.248.114.12,34312,443,tcp,0.150154
22:50:45.452307,22:50:46.057393,196.42.104.243,87.248.114.12,34326,443,tcp,0.149801
22:50:45.453429,22:50:46.061246,196.42.104.243,87.248.114.12,34330,443,tcp,0.149819
22:50:46.365903,22:50:46.976757,196.42.104.243,87.248.114.12,34344,443,tcp,0.150286
22:50:46.367896,22:50:46.982052,196.42.104.243,87.248.114.12,34360,443,tcp,0.149933
22:50:46.562742,22:50:46.762231,196.42.104.243,87.248.114.11,48600,443,tcp,0.149562
22:50:47.079232,22:50:47.688886,196.42.104.243,87.248.114.12,34370,443,tcp,0.150431
22:50:47.079464,22:50:47.546491,196.42.104.243,87.248.114.12,34374,443,tcp,0.150217
22:50:47.079787,22:50:51.194067,196.42.104.243,87.248.114.12,49358,443,tcp,0.165533
22:50:47.080786,22:50:47.552116,196.42.104.243,87.248.114.12,34388,443,tcp,0.149759
22:50:47.195032,22:50:47.878590,196.42.104.243,87.248.114.11,44104,443,tcp,0.149859
22:50:47.802291,22:50:52.747324,196.42.104.243,87.248.114.12,56422,443,tcp,0.149812
22:50:47.907701,22:50:48.545948,196.42.104.243,87.248.114.12,34390,443,tcp,0.151305
