1713016804.227821000	41.169.98.17	10.30.222.137	385222	1
1713016804.234058000	41.169.98.17	10.30.222.137	390742	1
1713016804.241007000	41.169.98.17	10.30.222.137	399022	1
1713016804.247930000	102.132.115.163	10.30.228.173	56581	1
1713016804.248203000	41.169.98.17	10.30.222.137	416962	1
1713016804.248380000	41.169.98.17	10.30.222.137	418342	1
1713016804.248498000	102.132.115.163	10.30.228.173	59341	1
1713016804.249511000	102.132.115.163	10.30.228.173	62101	1
1713016804.276879000	102.132.115.163	10.30.228.173	1	1
1713016804.311103000	41.169.98.17	10.30.222.137	428002	1
1713016804.318851000	41.169.98.17	10.30.222.137	432142	1
1713016804.319181000	41.169.98.17	10.30.222.137	433522	1
1713016804.322291000	41.169.98.17	10.30.222.137	437662	1
1713016804.339751000	41.169.98.17	10.30.222.137	444562	1
1713016804.340168000	41.169.98.17	10.30.222.137	445942	1
1713016804.402498000	41.169.98.17	10.30.222.137	469227	1
1713016804.437492000	41.169.98.17	10.30.222.137	502347	1
1713016804.437789000	41.169.98.17	10.30.222.137	503727	1
1713016804.439262000	41.169.98.17	10.30.222.137	509247	1
1713016804.441235000	41.169.98.17	10.30.222.137	513387	1
1713016804.445461000	41.169.98.17	10.30.222.137	523047	1
1713016804.450052000	41.169.98.17	10.30.222.137	527187	1
1713016804.456677000	41.169.98.17	10.30.222.137	532707	1
1713016804.456860000	41.169.98.17	10.30.222.137	534087	1
1713016804.506028000	10.30.228.173	102.132.104.63	4294958946	1
1713016804.513671000	41.169.98.17	10.30.222.137	514767	1
1713016804.515089000	41.169.98.17	10.30.222.137	524427	1
1713016804.515426000	41.169.98.17	10.30.222.137	525807	1
1713016804.528147000	41.169.98.17	10.30.222.137	528567	1
1713016804.529034000	41.169.98.17	10.30.222.137	552186	1
1713016804.529202000	41.169.98.17	10.30.222.137	553566	1
1713016804.533780000	102.132.104.63	10.30.228.173	1	1
1713016804.549097000	41.169.98.17	10.30.222.137	557706	1
1713016804.549426000	41.169.98.17	10.30.222.137	559086	1
1713016804.549662000	41.169.98.17	10.30.222.137	564606	1
1713016804.549929000	41.169.98.17	10.30.222.137	565986	1
1713016804.550086000	41.169.98.17	10.30.222.137	567366	1
1713016804.572540000	41.169.98.17	10.30.222.137	581166	1
1713016804.572828000	41.169.98.17	10.30.222.137	583926	1
1713016804.588243000	102.132.115.163	10.30.228.173	66241	1
1713016804.588761000	102.132.115.163	10.30.228.173	67621	1
1713016804.616165000	10.30.222.137	14.22.7.199	1	1
1713016804.616419000	10.30.222.137	23.237.60.122	1	1
1713016804.616865000	10.30.222.137	23.237.60.122	1	1
1713016804.641896000	10.30.222.137	23.237.60.122	1	1
1713016804.670935000	41.169.98.17	10.30.222.137	571506	1
1713016804.681050000	41.169.98.17	10.30.222.137	574266	1
1713016804.681426000	41.169.98.17	10.30.222.137	575646	1
1713016804.681694000	41.169.98.17	10.30.222.137	603486	1
1713016804.682002000	41.169.98.17	10.30.222.137	604866	1
1713016804.682460000	41.169.98.17	10.30.222.137	606246	1
1713016804.691233000	41.169.98.17	10.30.222.137	609006	1
1713016804.691423000	41.169.98.17	10.30.222.137	610386	1
1713016804.691669000	41.169.98.17	10.30.222.137	613146	1
1713016804.693496000	10.30.222.137	8.219.89.234	0	1
1713016804.700152000	41.169.98.17	10.30.222.137	643506	1
1713016804.781930000	41.169.98.17	10.30.222.137	607626	1
1713016804.782254000	41.169.98.17	10.30.222.137	671106	1
1713016804.782472000	41.169.98.17	10.30.222.137	672486	1
1713016804.782615000	41.169.98.17	10.30.222.137	673866	1
1713016804.783174000	41.169.98.17	10.30.222.137	676626	1
1713016804.783502000	41.169.98.17	10.30.222.137	690426	1
1713016804.872633000	10.30.222.137	23.237.60.122	1	1
1713016804.872989000	10.30.222.137	14.22.7.199	1	1
1713016804.895498000	10.30.222.137	23.237.60.122	1	1
1713016804.895789000	10.30.222.137	23.237.60.122	1	1
1713016805.011193000	10.30.222.137	8.219.89.234	0	1
1713016805.094397000	41.169.98.17	10.30.222.137	796510	1
1713016805.111472000	41.169.98.17	10.30.222.137	824110	1
1713016805.111636000	41.169.98.17	10.30.222.137	825490	1
1713016805.113859000	41.169.98.17	10.30.222.137	831010	1
1713016805.178299000	10.30.222.137	8.219.89.234	0	1
1713016805.196517000	10.30.224.195	54.145.235.181	0	1
1713016805.199651000	41.169.98.17	10.30.222.137	811690	1
1713016805.221335000	41.169.98.17	10.30.222.137	871030	1
1713016805.241540000	41.169.98.17	10.30.222.137	853090	1
1713016805.259644000	41.169.98.17	10.30.222.137	902770	1
1713016805.260206000	41.169.98.17	10.30.222.137	904150	1
1713016805.273399000	41.169.98.17	10.30.222.137	909670	1
1713016805.274174000	41.169.98.17	10.30.222.137	913810	1
1713016805.300568000	41.169.98.17	10.30.222.137	922090	1
1713016805.309703000	41.169.98.17	10.30.222.137	927610	1
1713016805.310047000	41.169.98.17	10.30.222.137	928990	1
1713016805.329008000	10.30.222.137	23.237.60.122	1	1
1713016805.337573000	41.169.98.17	10.30.222.137	933130	1
1713016805.337864000	41.169.98.17	10.30.222.137	934510	1
1713016805.339130000	41.169.98.17	10.30.222.137	937270	1
1713016805.340767000	41.169.98.17	10.30.222.137	887590	1
1713016805.375524000	10.30.222.137	14.22.7.199	1	1
1713016805.413987000	10.30.222.137	23.237.60.122	1	1
1713016805.420002000	10.30.222.137	23.237.60.122	1	1
1713016805.468436000	102.132.115.163	10.30.228.173	2761	1
1713016805.522309000	102.132.115.163	10.30.228.173	122821	1
1713016805.533419000	71.18.46.243	10.30.222.137	52860	1
1713016805.533568000	71.18.46.243	10.30.222.137	54200	1
1713016805.538399000	71.18.46.243	10.30.222.137	55540	1
1713016805.540653000	41.169.98.17	10.30.222.137	1003002	1
1713016805.542197000	41.169.98.17	10.30.222.137	1004382	1
1713016805.542408000	41.169.98.17	10.30.222.137	1005762	1
1713016805.545471000	41.169.98.17	10.30.222.137	1019562	1
1713016805.547084000	41.169.98.17	10.30.222.137	1022322	1
1713016805.548267000	71.18.46.243	10.30.222.137	56880	1
1713016805.548408000	71.18.46.243	10.30.222.137	58220	1
1713016805.548507000	71.18.46.243	10.30.222.137	59560	1
1713016805.555201000	41.169.98.17	10.30.222.137	1050468	1
1713016805.557475000	41.169.98.17	10.30.222.137	1054608	1
